[2026-01-15 19:56:07.822] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:07.823] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:07.836] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:07.838] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:08.343] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:08.344] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:08.856] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:09.368] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:09.881] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:10.394] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:10.908] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:11.423] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:11.936] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:12.437] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:12.842] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:12.949] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:13.463] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:13.964] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:14.466] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:14.981] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:15.494] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:16.006] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:16.518] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:17.033] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:17.546] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:17.844] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:18.061] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:18.575] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:19.077] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:19.587] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:20.101] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:20.601] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:21.102] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:21.615] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:22.128] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:22.641] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:22.860] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:23.154] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:23.669] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:24.183] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:24.696] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:25.200] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:25.715] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:26.229] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:26.744] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:27.244] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:27.759] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:27.870] [LOCKFILE] Error reading lockfile: The process cannot access the file 'C:\Riot Games\League of Legends\lockfile' because it is being used by another process.
[2026-01-15 19:56:28.262] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:28.777] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:29.290] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:29.802] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:30.319] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:30.832] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:31.345] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:31.856] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:32.369] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
[2026-01-15 19:56:32.882] [API] GetAsync error: An invalid request URI was provided. Either the request URI must be an absolute URI or BaseAddress must be set.
